Match-Name,Name,score
"Painted Post, NY","Painted Post, NY",100
"Cordova, AL","Cordova, AL",100
"Krebs, OK","Krebs, OK",100
"New Johnsonville, TN","New Johnsonville, TN",100
"Fairchance, PA","Fairchance, PA",100
"Somonauk, IL","Somonauk, IL",100
"Belleville, KS","Belleville, KS",100
"Goodrich, MI","Goodrich, MI",100
"Waterville, MN","Waterville, MN",100
"Monroe, IA","Monroe, IA",100
"South Connellsville, PA","South Connellsville, PA",100
"Gate, VA","Gate, VA",100
"Ingram, TX","Ingram, TX",100
"Blacksburg, SC","Blacksburg, SC",100
"Greensboro, MD","Greensboro, MD",100
"Wesson, MS","Wesson, MS",100
"West Homestead, PA","West Homestead, PA",100
"Yale, MI","Yale, MI",100
"Shadeland, IN","Shadeland, IN",100
"Gibbon, NE","Gibbon, NE",100
"Hooker, OK","Hooker, OK",100
"Florala, AL","Florala, AL",100
"Canton, PA","Canton, PA",100
"Youngstown, NY","Youngstown, NY",100
"Hammond, WI","Hammond, WI",100
"Pierson, FL","Pierson, FL",100
"Oakboro, NC","Oakboro, NC",100
"Buffalo, TX","Buffalo, TX",100
"Dora, AL","Dora, AL",100
"Bellville, OH","Bellville, OH",100
"Leesport, PA","Leesport, PA",100
"Hidden Hills, CA","Hidden Hills, CA",100
"La Pine, OR","La Pine, OR",100
"Stockton, MO","Stockton, MO",100
"Leslie, MI","Leslie, MI",100
"Lakeland, MN","Lakeland, MN",100
"Forsyth, MT","Forsyth, MT",100
"Whitney, TX","Whitney, TX",100
"Manhattan, MT","Manhattan, MT",100
"Cannon Beach, OR","Cannon Beach, OR",100
"Syracuse, KS","Syracuse, KS",100
"Osakis, MN","Osakis, MN",100
"Anna Maria, FL","Anna Maria, FL",100
"Brackettville, TX","Brackettville, TX",100
"Upper Brookville, NY","Upper Brookville, NY",100
"Cologne, MN","Cologne, MN",100
"Trion, GA","Trion, GA",100
"Elkland, PA","Elkland, PA",100
"Randolph, WI","Randolph, WI",100
"Bellwood, PA","Bellwood, PA",100
"Grandview, TX","Grandview, TX",100
"Gallatin, MO","Gallatin, MO",100
"North Newton, KS","North Newton, KS",100
"Bourbon, IN","Bourbon, IN",100
"Middleport, NY","Middleport, NY",100
"Jeffersonville, KY","Jeffersonville, KY",100
"Catlettsburg, KY","Catlettsburg, KY",100
"South Whitley, IN","South Whitley, IN",100
"Honey Brook, PA","Honey Brook, PA",100
"Trumansburg, NY","Trumansburg, NY",100
"Hemby Bridge, NC","Hemby Bridge, NC",100
"Cooperstown, NY","Cooperstown, NY",100
"Orchard Grass Hills, KY","Orchard Grass Hills, KY",100
"Kiawah Island, SC","Kiawah Island, SC",100
"Southport, IN","Southport, IN",100
"Hampton, IL","Hampton, IL",100
"Edgerton, KS","Edgerton, KS",100
"Duson, LA","Duson, LA",100
"Monon, IN","Monon, IN",100
